Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
TCGA_64_1681_01A	6.52E-02	1.00E-02	8.77E-02	1.91E-01	1.28E-01	1.41E-01	1.25E-01
TCGA_64_5781_01A	7.29E-01	0.00E+00	7.56E-01	3.74E-01	6.52E-01	4.42E-01	2.23E-01
TCGA_67_3770_01A	2.20E-01	1.20E-01	1.35E-01	1.41E-01	1.47E-01	1.66E-01	1.03E-01
TCGA_67_3774_01A	8.86E-02	0.00E+00	1.26E-01	1.46E-01	2.35E-01	2.02E-01	1.91E-01
TCGA_67_6217_01A	1.83E-01	8.38E-02	9.90E-02	1.05E-01	1.92E-01	1.53E-01	1.84E-01
TCGA_69_7973_01A	2.28E-01	0.00E+00	3.16E-01	2.31E-01	2.40E-01	1.93E-01	2.24E-01
TCGA_69_7974_01A	3.82E-01	0.00E+00	4.28E-01	3.49E-01	3.17E-01	4.38E-01	2.39E-01
TCGA_69_7979_01A	6.87E-01	2.51E-01	7.45E-01	3.38E-01	4.53E-01	5.73E-01	4.93E-01
TCGA_69_7980_01A	5.52E-01	1.05E-01	5.25E-01	2.59E-01	5.32E-01	3.44E-01	3.12E-01
TCGA_73_4662_01A	3.07E-01	0.00E+00	2.74E-01	1.01E-01	1.76E-01	1.80E-01	2.29E-01
TCGA_73_4666_01A	3.28E-01	0.00E+00	3.27E-01	1.20E-01	1.44E-01	2.09E-01	1.80E-01
TCGA_73_4670_01A	4.95E-01	1.10E-01	4.81E-01	4.11E-01	5.93E-01	3.37E-01	2.88E-01
TCGA_73_7498_01A	1.57E-01	0.00E+00	7.05E-02	1.13E-01	1.45E-01	1.44E-01	1.56E-01
TCGA_78_7145_01A	1.39E-01	0.00E+00	9.46E-02	2.05E-01	1.57E-01	1.48E-01	1.00E-01
TCGA_78_7146_01A	2.88E-01	8.45E-02	3.31E-01	6.72E-02	1.74E-01	2.51E-01	1.73E-01
TCGA_78_7147_01A	4.12E-01	0.00E+00	3.25E-01	2.17E-01	3.40E-01	2.53E-01	2.05E-01
TCGA_78_7153_01A	1.33E-01	0.00E+00	6.15E-02	0.00E+00	1.33E-01	1.62E-01	2.10E-01
TCGA_78_7158_01A	3.17E-01	0.00E+00	1.46E-01	8.90E-02	1.18E-01	2.32E-01	2.33E-01
TCGA_78_7159_01A	3.02E-01	0.00E+00	3.29E-01	2.51E-01	3.44E-01	3.70E-01	3.57E-01
TCGA_78_7161_01A	2.09E-01	0.00E+00	2.09E-01	1.70E-01	1.14E-01	1.68E-01	1.33E-01
TCGA_78_7220_01A	6.07E-01	1.27E-01	6.18E-01	2.43E-01	4.81E-01	2.45E-01	2.75E-01
TCGA_83_5908_01A	2.43E-01	0.00E+00	2.26E-01	2.81E-02	1.28E-01	1.67E-01	8.43E-02
TCGA_86_6851_01A	7.13E-01	0.00E+00	7.24E-01	1.92E-01	5.57E-01	4.07E-01	2.38E-01
TCGA_86_7954_01A	2.11E-01	9.53E-02	1.73E-01	1.10E-01	1.23E-01	1.46E-01	9.26E-02
TCGA_86_8056_01A	1.38E-01	0.00E+00	1.40E-01	1.58E-01	1.65E-01	1.58E-01	1.62E-01
TCGA_86_8074_01A	6.46E-02	0.00E+00	7.07E-02	8.98E-02	1.22E-01	1.30E-01	1.64E-01
TCGA_91_6830_01A	1.50E-01	0.00E+00	2.19E-01	2.28E-01	2.24E-01	2.03E-01	1.07E-01
TCGA_91_6836_01A	1.76E-01	0.00E+00	3.13E-01	2.09E-01	2.34E-01	2.89E-01	1.73E-01
TCGA_91_6840_01A	1.20E-01	0.00E+00	5.14E-02	1.51E-01	1.26E-01	9.63E-02	1.53E-01
