MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H
TA>CT	0.0003798098545803441	0.0010282485550294495	0.0036639026409238796	0.0009670375953965049	0.0013115309992849688	0.005672645752880499	0.001727309648750861	0.0013297587075447837
TA>GC	1.288298231884255e-05	1.0699288168325438e-05	1.7932587747964136e-05	2.1400928981165636e-05	1.3346198304589052e-05	1.818362077472102e-05	1.4473851290404128e-05	1.9234287466929346e-05
TA>GG	1.288298231884255e-05	1.0699288168325438e-05	1.7932587747964136e-05	2.1400928981165636e-05	1.3346198304589052e-05	1.818362077472102e-05	1.4473851290404128e-05	1.9234287466929346e-05
TA>GT	0.0001935895005698285	0.004588041361937201	0.006538167924653635	0.0029687961987860945	0.0064564687498531725	0.005270910667948101	0.002801464986440578	0.008086676069752911
TC>AA	2.3711859893216643e-06	0.005761623189856382	0.11064223665333073	0.021907938907842435	0.04197334709129537	0.05754782356794792	0.01616834865021943	0.07171267015028213
TC>AG	0.0001640639218442175	0.0052983575210832435	0.018400333939082563	0.0072928652453154805	0.01022018439097451	0.007592106814688846	0.015895513189912905	0.015846931783516992
TC>AT	0.00023631599982991248	0.0001040944227972318	0.025764609115860822	0.006451431125726543	0.011579563792991507	0.017254181619060772	0.011924343967599772	0.013930684702950771
TC>CA	8.55458361405681e-05	0.004148083339630375	0.018847819974954518	0.01100407012998403	0.004977729104200321	0.012759493553605807	0.010672430051587866	0.021928501846417134
TC>CG	1.288298231884255e-05	1.0699288168325438e-05	1.7932587747964136e-05	2.1400928981165636e-05	1.3346198304589052e-05	1.818362077472102e-05	1.4473851290404128e-05	1.9234287466929346e-05
TC>CT	0.00022296468909530632	0.0016196624924424273	0.029207974517176293	0.01118016048461243	0.013359889956172566	0.025716146231036418	0.025295308284985368	0.01383793329479964
TC>GA	0.00011535208416717069	0.0020119369987834546	0.0035294722256924162	0.002070138585377208	0.0039715770253997106	0.0022852597171214486	0.001455764010032965	0.0040447946633366885
TC>GG	0.00014001168521872388	0.003286341526235219	0.0042181157569848434	0.0006762962276798134	0.0015138207002769377	0.003380379803446658	0.0033595933159530312	0.0034795452150115126
TC>GT	0.0007004108114188057	0.002458357621230789	0.0029828871722673966	0.0007420304158210911	0.0008628629145448485	0.001371123815960118	0.0052835074958159116	0.0011837522583181227
TG>AA	0.00018858224455883032	0.005991043724204986	0.044958392532933544	0.016054599101929787	0.010965208334701779	0.03247985749312649	0.042257167049412576	0.016390712858775202
TG>AC	9.720242279627201e-06	0.0012508968579689216	0.0034493668841912494	0.0019559099726211573	0.0006044852902687126	0.004163914617070077	0.006397982820982833	0.0039061913542184357
TG>AT	0.00023086204072655296	0.02812571386105929	0.03519991174517157	0.0215009300688331	0.027369697572639275	0.13351825636312298	0.02390519729206777	0.03731516975964881
TG>CA	1.173629339064064e-05	7.422515300845589e-06	0.003924324654418854	0.001190420699738297	0.0048493272564201105	0.005849069702900351	0.0015086560641695713	0.002517136939474085
TG>CC	1.288298231884255e-05	1.0699288168325438e-05	1.7932587747964136e-05	2.1400928981165636e-05	1.3346198304589052e-05	1.818362077472102e-05	1.4473851290404128e-05	1.9234287466929346e-05
TG>CT	4.3903595077189797e-07	0.0065708797471577185	0.002600468576230135	0.015282766182415393	0.4848647903211713	0.012297088135583244	0.0008256789620309786	0.012744323268153779
TG>GA	0.00012584521894396517	0.005262491811416865	0.012190266727045582	0.006736219031492965	0.00434626139303191	0.00909862800019937	0.0049240121104645596	0.008930852197761397
TG>GC	1.288298231884255e-05	1.0699288168325438e-05	1.7932587747964136e-05	2.1400928981165636e-05	1.3346198304589052e-05	1.818362077472102e-05	1.4473851290404128e-05	1.9234287466929346e-05
TG>GT	0.0036212261070897966	0.007625881793423446	0.007801854390251748	0.016796851144021047	0.006219516335352396	0.00967329731839584	0.024139735861524514	0.020382620574844416
TT>AA	0.00021787570413209779	0.005044035525129962	0.02683554792530176	0.009495591567732048	0.011338658003459727	0.013313507790672646	0.012000180113952012	0.009857169677812862
TT>AC	9.491074486049911e-06	0.006118286537152926	0.005106105043167873	0.00446124184546477	0.0032159038405535512	0.006864296800766993	0.002755369412856794	0.005043795291123842
TT>AG	6.372119431716783e-05	0.002986751412818194	0.0038496065433173497	0.0006748426504850614	0.001122546713995476	0.0026904260771834754	0.0034987989087393425	0.0018042500243660698
TT>CA	0.0005399427028942227	0.005773430590467115	0.004005285077828376	0.00040329960352195824	0.008737158467665722	0.002022879611358661	0.0038561368627665613	0.005031000491594568
TT>CC	1.288298231884255e-05	1.0699288168325438e-05	1.7932587747964136e-05	2.1400928981165636e-05	1.3346198304589052e-05	1.818362077472102e-05	1.4473851290404128e-05	1.9234287466929346e-05
TT>CG	1.288298231884255e-05	1.0699288168325438e-05	1.7932587747964136e-05	2.1400928981165636e-05	1.3346198304589052e-05	1.818362077472102e-05	1.4473851290404128e-05	1.9234287466929346e-05
TT>GA	3.619746589379247e-05	0.0017732209293683354	0.002805699712371279	0.0005299541313502231	0.00030828592570287584	0.006487794972817937	0.0027504223635638424	0.0030242346944538666
TT>GC	1.288298231884255e-05	1.0699288168325438e-05	1.7932587747964136e-05	2.1400928981165636e-05	1.3346198304589052e-05	1.818362077472102e-05	1.4473851290404128e-05	1.9234287466929346e-05
TT>GG	1.288298231884255e-05	1.0699288168325438e-05	1.7932587747964136e-05	2.1400928981165636e-05	1.3346198304589052e-05	1.818362077472102e-05	1.4473851290404128e-05	1.9234287466929346e-05
