Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
TCGA_95_A4VK_01A	9.63E-02	2.11E-01	2.03E-01	0.00E+00	0.00E+00	0.00E+00	2.00E-02	4.32E-02
TCGA_95_A4VN_01A	0.00E+00	3.41E-01	4.16E-01	9.90E-02	4.38E-01	3.39E-01	3.38E-01	3.13E-01
TCGA_95_A4VP_01A	3.56E-02	1.38E-01	8.47E-02	3.30E-02	1.07E-01	8.80E-02	1.22E-01	6.40E-02
TCGA_97_7547_01A	0.00E+00	1.27E-01	7.52E-02	5.00E-02	1.03E-01	2.15E-01	1.60E-01	1.84E-01
TCGA_97_7553_01A	1.02E-01	4.56E-02	6.01E-02	0.00E+00	7.72E-02	1.56E-01	2.40E-01	2.09E-01
TCGA_97_7941_01A	8.03E-02	1.50E-01	4.38E-02	8.27E-02	5.87E-02	1.08E-01	1.69E-01	1.40E-01
TCGA_97_8175_01A	0.00E+00	1.41E-02	5.26E-02	2.43E-02	3.79E-02	8.41E-02	7.06E-02	6.15E-02
TCGA_97_A4M0_01A	0.00E+00	3.58E-01	3.73E-01	2.55E-01	3.75E-01	2.04E-01	8.29E-02	1.78E-01
TCGA_97_A4M1_01A	0.00E+00	1.71E-02	0.00E+00	0.00E+00	0.00E+00	1.00E-02	2.56E-02	1.71E-02
TCGA_97_A4M3_01A	9.10E-02	1.73E-01	7.80E-02	6.15E-02	9.26E-02	1.02E-01	8.51E-02	1.27E-01
TCGA_99_7458_01A	2.81E-02	3.91E-01	4.41E-01	1.86E-01	2.65E-01	2.38E-01	2.07E-01	1.92E-01
TCGA_J2_8194_01A	0.00E+00	1.06E-01	1.19E-01	0.00E+00	5.18E-02	4.42E-02	1.28E-01	6.79E-02
TCGA_J2_A4AD_01A	0.00E+00	3.35E-01	2.38E-01	3.55E-02	2.48E-01	1.99E-01	3.33E-01	2.97E-01
TCGA_J2_A4AG_01A	0.00E+00	2.32E-01	1.08E-01	1.59E-01	1.88E-01	1.49E-01	1.53E-01	2.38E-01
